Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
X-n401-k29.vrp,66450,66397,66556,66439,66527,66570,66530,66480,66466,66453,66333,66412,66602,66429,66627,66578,66586,66435,66396,66350,66335,66354,66483,66505,66373,66510,66491,66424,66473,66471,66544,66372,66367,66437,66360,66563,66280,66415,66569,66414,66372,66404,66461,66457,66550,66667,66429,66414,66436,66331
X-n411-k19.vrp,19857,19942,20056,19800,19929,19830,20053,19805,20085,19902,19777,19800,19859,20019,19820,19886,19750,20048,20012,19975,19818,20051,19842,20014,19859,19791,19910,20009,19991,19888,19929,19893,19833,19851,19855,19912,19922,19951,19793,19939,19814,19906,19824,19911,19809,19867,19903,19947,19895,19802
X-n420-k130.vrp,108201,108241,108207,108041,108011,108018,108224,108251,108206,108482,108170,108167,108096,108115,108467,107969,108198,108169,108144,108070,108090,108274,108208,108456,108076,108250,108304,108022,108180,108170,108142,107952,108274,108364,108264,108562,108479,108252,108218,108397,108291,108363,108307,108472,108059,108307,108221,108018,108324,108207
X-n429-k61.vrp,65791,65937,65869,65972,65737,65765,66019,65777,65973,65941,65867,65976,66055,66043,66035,66044,65642,65706,65817,65924,65785,65963,65839,66201,65865,65897,65963,65688,65890,66118,65817,65908,66013,65819,65788,65660,65881,65871,65861,65848,66013,65785,65985,66152,65836,65785,65912,65974,66053,65960
X-n439-k37.vrp,36607,36549,36550,36623,36454,36548,36580,36479,36546,36477,36539,36673,36453,36559,36509,36408,36558,36507,36492,36610,36551,36537,36545,36432,36554,36576,36490,36583,36532,36578,36488,36558,36517,36590,36540,36490,36569,36699,36552,36537,36478,36461,36558,36553,36600,36526,36619,36579,36513,36477
X-n449-k29.vrp,55899,56121,55945,55993,55961,56061,55755,55696,55856,55796,55789,55731,56023,55721,56186,55815,55904,55753,55928,55989,56048,56096,55895,55739,56049,55696,55965,56327,56009,55902,55908,55934,56026,55855,55949,55717,56074,55867,56095,55756,55916,55960,56033,56000,55936,55787,55973,55959,55818,55889
X-n459-k26.vrp,24398,24434,24447,24375,24297,24261,24454,24360,24586,24331,24381,24369,24416,24520,24405,24451,24401,24499,24433,24461,24509,24413,24398,24333,24348,24287,24390,24394,24489,24478,24407,24318,24544,24363,24420,24430,24428,24354,24414,24418,24418,24451,24353,24527,24384,24338,24522,24488,24289,24489
X-n469-k138.vrp,224244,224554,223595,223579,223767,223678,224455,224251,223484,224617,223642,223989,224120,223769,223881,223877,223730,223908,224068,223795,224402,224017,223560,223481,223889,223859,223895,223965,223907,223952,223872,223880,223985,223492,223927,224004,224536,223815,224177,223788,223540,224090,223408,223888,224712,223497,223931,223697,223968,223944
X-n480-k70.vrp,89948,89829,89799,89945,89754,90091,89957,89804,90108,89781,89834,89723,89805,89852,89831,89845,89830,89756,89815,89858,89844,89926,89906,90018,89949,90001,89874,90067,89820,90109,89903,89870,90014,89911,89932,90012,89749,89891,89836,89893,89677,89660,89889,89787,90054,89672,90109,89790,89778,89617
X-n491-k59.vrp,66974,67311,67200,67280,66851,67280,67197,66985,67228,66970,67088,67155,67220,66758,67074,67079,67279,67055,66982,67001,66952,67006,67256,67268,67033,67123,66889,67072,67238,66886,67326,67250,66925,66929,67093,66913,67122,67039,67317,67066,67045,66826,67183,67140,67182,67106,67063,66815,67107,66999
X-n502-k39.vrp,69334,69333,69329,69256,69337,69272,69336,69281,69347,69297,69303,69267,69326,69307,69329,69288,69291,69317,69300,69304,69302,69399,69319,69272,69367,69365,69302,69330,69319,69334,69299,69316,69297,69309,69317,69325,69338,69307,69315,69400,69335,69284,69327,69282,69286,69342,69427,69295,69281,69295
X-n513-k21.vrp,24279,24312,24331,24384,24337,24330,24535,24382,24415,24442,24403,24343,24342,24308,24304,24293,24327,24342,24344,24429,24313,24330,24364,24346,24351,24320,24389,24315,24350,24470,24441,24340,24370,24364,24318,24330,24365,24354,24359,24405,24465,24405,24286,24354,24339,24450,24409,24406,24413,24419
X-n524-k153.vrp,155931,155330,155675,155930,155989,155673,155711,155509,155836,155801,155264,155286,155841,155152,155306,155902,155330,155426,154938,155375,155392,155946,155578,155343,155226,155310,155729,156148,155312,155947,155312,155450,155348,155728,155397,155577,155597,155185,156121,155355,155216,155760,155220,155560,155486,155287,155561,156026,155412,155484
X-n536-k96.vrp,95539,95721,95611,95564,95662,95573,95833,95721,95742,95620,95627,95805,95662,95695,95681,95679,95819,95636,95570,95607,95756,95813,95670,95770,95467,95570,95703,95673,95581,95733,95653,95632,95719,95646,95809,95575,95612,95568,95532,95528,95683,95585,95586,95613,95666,95693,95548,95615,95750,95715
X-n548-k50.vrp,86921,86744,86938,86982,87055,86943,86813,86781,86955,87133,86950,86988,86975,86907,87025,86928,86901,86942,87045,87069,86766,86984,86900,86967,86965,86822,86889,86896,87022,86877,87006,87079,87000,86864,86974,86796,86752,86911,87032,86886,86915,86895,86885,86906,86972,86884,86977,86851,86959,87078
X-n561-k42.vrp,43145,42986,43031,43102,43046,43224,43069,43077,42983,43020,43091,43049,43071,43075,43078,43141,43159,43033,42971,43038,43102,43164,42930,43201,42916,43285,43174,43214,43047,43028,43069,43072,43010,43089,43122,43085,43114,43012,43179,43028,43010,42878,42866,43061,43137,43130,43096,43140,43071,43150
X-n573-k30.vrp,51091,51027,51041,51118,51045,51067,51048,51144,51191,51061,51042,51093,51101,51130,51185,50995,50978,51087,50933,51127,51102,51073,51154,51125,51191,51027,51030,51158,51042,51118,51166,51150,51178,51104,51077,51212,51027,51180,51080,51131,51235,51155,51095,51180,51074,51152,51178,51102,51107,51019
X-n586-k159.vrp,191512,191523,191571,191401,191337,191615,191733,191874,191663,191759,191419,191845,191469,191749,191545,191598,191505,191594,191764,191762,192247,191514,191499,191877,191721,191497,191683,191518,191596,191918,191646,191534,191650,191382,191925,191510,191995,191893,191531,191857,191785,192033,191726,191503,191874,191838,191579,191542,191627,191388
X-n599-k92.vrp,109132,109304,109423,109280,109459,109311,109341,109370,109299,109578,109482,109334,109252,109173,109340,109421,109340,109268,109291,109291,109663,109415,109337,109693,109517,109672,109716,109458,109074,109349,109824,109661,109466,109434,109378,109506,109580,109704,109131,109548,109603,109236,109135,109375,109314,109518,109521,109364,109293,109248
X-n613-k62.vrp,60177,60297,60331,60180,60371,60000,60121,60335,60229,60189,60353,60443,60222,60251,60299,60249,60228,60035,60206,60214,60445,60384,60260,60240,60118,59912,60368,60324,60341,60100,60252,60282,60191,60257,60386,60104,60239,60338,60370,60345,60263,60677,60200,60388,60104,60042,60130,60027,60293,60126
X-n627-k43.vrp,62579,62646,62515,62623,62559,62543,62492,62601,62634,62547,62523,62558,62561,62609,62646,62523,62729,62658,62688,62657,62515,62546,62666,62590,62529,62657,62526,62683,62681,62543,62756,62557,62474,62561,62442,62464,62531,62694,62605,62564,62633,62580,62538,62516,62577,62564,62505,62510,62665,62532
X-n641-k35.vrp,64408,64113,64154,64461,64235,64240,64210,64210,64459,64632,64126,64274,64325,64248,64192,64253,64168,64162,64384,64209,64571,64304,64218,64131,64240,64072,64176,64222,64465,64346,64421,64518,64173,64586,64297,64382,64496,64242,64513,64455,64419,64407,64256,64272,64488,64279,64261,64102,64169,64120
X-n655-k131.vrp,106887,107027,106982,106989,107038,106989,106995,107038,107002,106994,106961,106910,107009,106937,107092,106946,106991,106908,107008,106998,107016,106975,106973,106975,106994,106996,106943,106943,107011,107025,106981,106889,106909,107090,106940,106901,107018,106988,106970,106944,106960,106950,106899,107024,107027,107002,106983,107013,106934,106974
