Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
X-n561-k42.vrp,43298,43333,43492,43152,43187,43191,43495,43238,43213,43569,43366,43493,43371,43434,43129,43187,43249,43211,43265,43167,43294,43124,43318,43097,43483,43190,43343,43520,43140,43471,43301,43216,43352,43276,43434,43101,43352,43296,43102,43209,43413,43224,43167,43267,43166,43238,43194,43289,43131,43325
X-n573-k30.vrp,51288,51506,51538,51491,51510,51456,51452,51313,51482,51452,51494,51309,51478,51360,51545,51267,51508,51498,51416,51505,51539,51548,51446,51286,51251,51550,51409,51491,51447,51299,51549,51484,51550,51383,51359,51460,51480,51542,51471,51466,51449,51510,51360,51497,51459,51497,51328,51464,51374,51489
X-n586-k159.vrp,193662,193589,193483,193462,193493,193503,193144,193397,193954,192942,192831,193368,194030,193536,192874,193516,193272,193638,193583,193436,193353,193118,193040,193822,193575,193451,192854,193054,193538,193924,193786,193675,193063,193198,192826,192817,193356,193556,194287,193435,194214,194070,192642,194166,192957,193470,193613,193131,194501,193067
X-n599-k92.vrp,110103,110077,110475,109846,110023,110076,110353,110306,109946,110324,109989,109891,110583,109838,109985,109973,110032,110158,110045,110455,110415,110202,110346,110191,110173,110344,110244,110648,110035,110333,110258,109656,110122,110374,110301,109916,110108,109921,110162,110222,110064,109917,110060,110218,110485,110121,109861,110258,110127,109837
X-n613-k62.vrp,60671,61071,60917,60815,60901,60809,60861,61104,60998,60923,60965,60708,60864,60737,60656,60730,60989,61179,60961,60589,60744,60633,60810,60958,60554,60779,61232,60920,60725,60794,60760,60903,60715,60828,60842,60605,60979,60848,60895,60952,60709,60808,60749,60520,61078,60906,60907,60649,60915,60539
X-n627-k43.vrp,63100,63297,63316,63289,63143,63356,63271,63170,63315,63129,63256,63302,63203,63242,63222,63055,63128,63194,63266,63137,63072,63232,63169,63220,63177,63243,63143,63153,63308,63398,63174,63238,63341,63338,63214,63098,63252,63121,63413,63240,63186,63225,63245,63168,63118,63259,63142,63300,63047,63083
X-n641-k35.vrp,64733,65152,64803,65069,64845,64693,64934,65066,64999,64623,65003,64923,64824,64766,65264,64788,64733,64688,64826,64910,65198,64819,64681,65260,64643,65151,65136,65059,64989,65102,64960,64936,65054,64687,64813,65039,65188,65032,64995,64829,64823,65008,64925,64667,64882,64931,65172,64873,64894,64730
X-n655-k131.vrp,107267,107214,107070,107289,107238,107302,107085,107142,107179,107071,107216,107276,107212,107138,107172,107215,107295,107141,107161,107312,107143,107195,107242,107208,107204,107055,107138,107371,107178,107161,107140,107292,107162,107249,107108,107233,107268,107122,107282,107152,107265,107034,107112,107197,107127,107216,107255,107162,107070,107284
X-n670-k130.vrp,150284,151283,150505,150387,151034,151377,150246,150388,151072,151501,151675,150748,151009,151709,150785,151432,150234,152178,151997,150338,149804,150705,150312,151260,150703,151991,150525,151957,151250,151555,150876,150644,151666,150793,151566,152132,151645,150292,151535,150749,150686,151291,152073,150952,152253,151098,150651,151123,151519,149827
X-n685-k75.vrp,69531,69670,69341,69713,69269,69232,69394,69707,69826,69872,69858,69499,69373,69540,69530,69557,69692,69354,69527,69310,69565,69587,69466,69564,69691,69647,69497,69577,69772,69536,69554,69543,69604,69787,69600,69510,69284,69377,69462,69694,69402,69410,69805,69644,69745,69619,69454,69688,69710,69453
X-n701-k44.vrp,83127,82927,83076,82991,83103,83307,83193,82998,83042,83092,83272,83120,82895,83106,83277,82954,83208,83223,83218,83341,83158,83168,83223,83160,83135,83261,83108,83184,82959,82964,83079,82983,83470,83131,83290,83096,83520,83334,83274,83308,83145,83164,83172,83195,83215,82954,82986,83037,83298,83074
X-n716-k35.vrp,44375,44306,44512,44207,44286,44431,44252,44495,44407,44252,44299,44453,44374,44345,44301,44354,44389,44369,44474,44313,44303,44447,44313,44481,44387,44305,44543,44552,44293,44488,44402,44280,44406,44221,44251,44217,44353,44276,44264,44280,44186,44600,44202,44054,44314,44418,44284,44359,44294,44316
X-n733-k159.vrp,137717,137517,137805,138339,138114,137994,138185,137540,137661,137615,137951,137866,137960,137725,137984,137601,138028,137979,137722,138011,137734,137546,137855,137539,137544,137610,137523,137553,137725,137734,137522,137834,137885,137697,137545,137868,137691,137643,137773,137735,137599,137540,137568,137961,137847,137400,137753,137305,137561,137882
X-n749-k98.vrp,78730,78842,78757,78906,78872,78927,78915,78498,78895,78711,78920,78745,78682,78937,78808,78770,79016,78773,78881,78768,78870,79107,78795,78898,78920,78672,78979,78532,79014,78975,78767,78735,78817,78869,78716,78673,78674,78692,78767,78721,78731,78812,78935,78859,78565,78573,78777,78841,78559,79079
X-n766-k71.vrp,116182,116111,116404,116429,116300,117110,116208,116338,116043,116436,116896,116496,116685,116711,116500,116429,116209,116306,116803,116610,116307,116185,116064,116385,116889,116718,116456,116677,115957,116547,116403,116422,116346,116486,115979,116616,116202,116611,116240,117060,116309,116368,116739,116715,116351,116210,116276,116356,116302,116208
X-n783-k48.vrp,74149,73821,74178,73932,74036,73909,73855,74065,74219,74230,73949,73795,73825,73967,73879,73934,73857,74129,74011,73981,73970,73767,74250,73856,73973,74100,73670,74198,74003,73573,74517,74260,74089,74130,73910,73958,73864,73974,74389,73875,74032,73786,74100,74090,74278,74142,74131,73968,73857,74245
X-n801-k40.vrp,73972,74097,74077,74054,73972,74134,74027,74331,74006,74044,74001,74095,74080,74221,74057,74114,74153,74100,74110,74205,74041,74179,74010,73985,74355,73910,74123,73963,74169,74120,74045,74041,74056,74094,73877,74148,73913,74070,74033,74074,74174,74179,73945,73845,73974,74008,74066,74015,73981,74109
X-n819-k171.vrp,160389,160759,160922,160895,160667,160835,161017,161316,160897,161158,161039,161052,161311,160950,160917,160808,161407,160882,160448,161261,160570,160698,161006,161137,161111,161071,160884,160741,161263,160858,160673,160990,161088,161192,160840,160679,161073,160979,161398,161021,160782,161058,160739,160938,160847,160820,160897,161296,161013,160791
X-n837-k142.vrp,196460,196394,196563,196457,196178,196301,196179,196449,196255,196209,196298,196442,196109,196709,196320,196460,196315,196418,196490,196145,196525,196819,196515,196060,196270,196452,196284,196360,196476,196808,196030,196114,196545,196662,196391,196048,196410,196261,196923,196335,196604,196089,196074,196392,196930,196510,196873,196506,196194,196499
X-n856-k95.vrp,89627,89887,89650,89716,89876,89655,89997,89676,89705,89606,89847,89608,89670,89769,89597,89727,89625,89778,89511,89785,89643,89682,89576,89892,89673,89575,89667,89581,89620,89907,89615,89651,89711,89810,89625,89703,89761,89672,89740,89679,89513,89503,89410,89585,89741,89786,89667,89766,89711,89688
X-n876-k59.vrp,100833,101067,100795,100617,100997,100744,100645,100708,100842,100979,100793,100997,100796,101116,100718,101204,100791,100784,100903,100731,100629,100957,100771,100625,100908,100693,100934,100810,100679,100759,101023,100653,100916,100804,100973,100832,100679,100665,100684,100724,100865,100752,100834,100988,100842,100826,100650,100790,100685,100818
X-n895-k37.vrp,55251,55780,55574,55529,55658,55463,55386,55750,55395,55458,55468,55456,55268,55479,55535,55549,55579,55512,55423,55215,55219,55399,55199,55751,55646,55399,55692,55608,55328,55299,55571,55634,55510,55368,55444,55346,55460,55516,55381,55521,55142,55638,55621,55555,55628,55373,55192,55736,55282,55671
X-n916-k207.vrp,334192,333694,334162,333693,334536,333686,333790,334371,333944,334329,334513,333541,333678,334407,333918,334302,334976,334556,333942,334329,334072,334577,333616,334093,333416,334759,334164,334313,334551,333993,334004,334148,334558,334291,334119,334270,333624,334657,334126,333910,334156,333705,333953,333854,333681,333988,334448,334537,334465,334181
